problem_name,agent_id,user_id,seconds
All permutations,baseline,2,174
Set Product,baseline,422,1266
All permutations,chi,811,2307
All permutations,baseline,348,1274
All permutations,chi,391,2834
All permutations,zimmerman,507,1981
Set Product,chi,248,2703
Set Product,chi,492,2417
All permutations,zimmerman,196,2562
Set Product,chi,733,314
All permutations,chi,492,1361
Set Product,chi,745,150
All permutations,baseline,430,2010
Set Product,zimmerman,41,670
Set Product,zimmerman,126,2880
Set Product,zimmerman,648,4490
All permutations,chi,762,253
Set Product,zimmerman,191,180
Set Product,chi,513,3281
Set Product,baseline,77,6472
Set Product,zimmerman,276,5667
Set Product,baseline,88,2232
Set Product,chi,366,2115
Set Product,chi,270,2742
Set Product,baseline,348,2519
Set Product,chi,435,3045
Set Product,chi,364,3157
All permutations,zimmerman,218,3820
Set Product,zimmerman,670,1564
All permutations,zimmerman,277,1128
Set Product,zimmerman,218,2900
All permutations,chi,759,3498
Set Product,baseline,313,373
Set Product,chi,405,4577
Set Product,chi,264,4612
All permutations,baseline,398,5094
Set Product,chi,57,4903
All permutations,zimmerman,41,1253
Set Product,zimmerman,277,1900
Set Product,chi,304,5112
All permutations,baseline,328,1944
Set Product,zimmerman,188,5129
Set Product,zimmerman,134,4568
Set Product,baseline,142,5849
Set Product,baseline,702,764
Set Product,chi,128,3764
Set Product,chi,583,1397
Set Product,zimmerman,167,1474
All permutations,chi,264,4696
Set Product,chi,35,1783
Set Product,zimmerman,483,4581
Set Product,zimmerman,752,154
Set Product,chi,786,2091
All permutations,baseline,271,4020
All permutations,baseline,422,1193
All permutations,chi,364,2419
All permutations,zimmerman,642,449
Set Product,chi,629,7657
Set Product,baseline,175,1016
Set Product,chi,544,432
Set Product,chi,501,300
All permutations,chi,786,1168
Set Product,chi,350,1483
Set Product,zimmerman,642,160
Set Product,baseline,105,1688
All permutations,chi,756,60
All permutations,zimmerman,555,301
Set Product,chi,505,4620
All permutations,chi,511,3944
Set Product,baseline,617,1866
All permutations,zimmerman,670,655
Set Product,baseline,408,1225
Set Product,zimmerman,197,848
Set Product,chi,500,2041
Set Product,zimmerman,416,5364
Set Product,baseline,306,5509
Set Product,chi,144,3206
Set Product,baseline,58,900
Set Product,chi,630,2155
All permutations,baseline,58,2901
All permutations,chi,120,3030
All permutations,baseline,77,3312
Set Product,chi,138,1361
Set Product,chi,584,2934
Set Product,baseline,485,1139
Set Product,zimmerman,615,2703
Set Product,chi,279,6027
Set Product,chi,681,1402
Set Product,chi,213,986
All permutations,baseline,537,2151
Set Product,baseline,92,5458
All permutations,baseline,763,2153
Set Product,chi,554,1745
Set Product,baseline,415,1193
Set Product,baseline,383,10868
All permutations,baseline,809,3014
Set Product,zimmerman,307,2940
All permutations,chi,367,1953
Set Product,chi,793,1356
All permutations,zimmerman,771,233
Set Product,zimmerman,18,2351
Set Product,baseline,809,1881
All permutations,chi,350,29
All permutations,zimmerman,18,1667
All permutations,chi,544,370
Set Product,chi,458,6926
Set Product,baseline,645,232
Set Product,chi,367,1427
Set Product,zimmerman,239,1896
All permutations,baseline,702,1398
All permutations,baseline,633,2886
All permutations,baseline,682,2242
All permutations,chi,292,1863
All permutations,chi,299,177
Set Product,chi,511,2777
Set Product,chi,646,3255
Set Product,baseline,59,1590
All permutations,chi,584,2479
Set Product,baseline,374,897
Set Product,zimmerman,266,1028
Set Product,zimmerman,463,1622
All permutations,zimmerman,167,583
Set Product,baseline,705,911
All permutations,baseline,618,1377
All permutations,chi,270,1999
Set Product,baseline,173,5406
All permutations,baseline,306,3111
Set Product,baseline,285,957
All permutations,chi,554,1463
All permutations,zimmerman,266,1282
All permutations,baseline,59,3920
Set Product,zimmerman,13,6421
Set Product,chi,14,1737
Set Product,baseline,346,902
All permutations,baseline,705,86
All permutations,baseline,664,6296
Set Product,chi,469,8647
All permutations,chi,182,2690
All permutations,zimmerman,239,2395
Set Product,chi,486,3339
Set Product,zimmerman,347,718
Set Product,chi,755,1671
All permutations,chi,405,2399
All permutations,zimmerman,746,8744
All permutations,chi,275,2974
Set Product,baseline,340,5115
All permutations,chi,753,2338
All permutations,zimmerman,663,356
All permutations,chi,366,5851
Set Product,baseline,250,1013
Set Product,baseline,489,1144
Set Product,zimmerman,343,7893
Set Product,zimmerman,768,1948
Set Product,zimmerman,634,3252
Set Product,zimmerman,63,4560
Set Product,chi,626,1661
Set Product,zimmerman,300,1168
Set Product,baseline,265,2661
All permutations,baseline,715,3502
All permutations,baseline,561,1635
Set Product,zimmerman,375,3479
Set Product,chi,305,8656
Set Product,chi,108,2256
Set Product,zimmerman,547,1623
All permutations,baseline,92,3092
All permutations,baseline,606,458
All permutations,baseline,265,1029
All permutations,chi,108,1332
All permutations,chi,530,3121
All permutations,chi,14,1294
Set Product,chi,379,2237
Set Product,chi,66,4195
All permutations,chi,128,1560
Set Product,zimmerman,654,3042
All permutations,zimmerman,648,1417
Set Product,zimmerman,113,2172
Set Product,chi,98,2982
Set Product,chi,457,1208
Set Product,chi,754,6695
Set Product,chi,456,3040
All permutations,zimmerman,375,3047
All permutations,chi,456,1881
Set Product,chi,389,2281
All permutations,baseline,338,29
All permutations,chi,66,1135
Set Product,baseline,744,4873
Set Product,chi,716,924
All permutations,chi,458,3441
All permutations,baseline,360,1603
Set Product,chi,80,4100
Set Product,baseline,17,3095
All permutations,zimmerman,541,1024
Set Product,baseline,561,4075
Set Product,baseline,649,2910
Set Product,zimmerman,495,3237
All permutations,baseline,17,1533
Set Product,baseline,605,3144
All permutations,chi,240,6151
Set Product,zimmerman,387,1660
Set Product,zimmerman,50,1558
Averager,chi,516,634
All permutations,zimmerman,387,177
Set Product,baseline,376,120
All permutations,zimmerman,343,7837
Set Product,zimmerman,535,470
All permutations,baseline,116,2613
Set Product,zimmerman,791,3425
All permutations,baseline,485,82
Set Product,baseline,116,3158
Set Product,baseline,428,1148
All permutations,chi,681,2286
Set Product,zimmerman,214,3789
Set Product,zimmerman,800,828
Set Product,chi,557,3110
All permutations,chi,644,5066
Set Product,baseline,27,1808
Set Product,zimmerman,757,5451
Set Product,chi,90,3891
Set Product,chi,284,2073
All permutations,chi,486,4400
All permutations,zimmerman,749,2728
All permutations,zimmerman,654,3147
Set Product,chi,656,3751
All permutations,zimmerman,171,4753
Set Product,baseline,414,2720
Set Product,chi,254,6845
Set Product,baseline,322,3975
Set Product,baseline,682,2715
Set Product,baseline,117,3107
All permutations,baseline,744,5035
Set Product,baseline,341,4727
All permutations,baseline,414,2425
Set Product,baseline,331,3388
All permutations,zimmerman,317,2431
Set Product,chi,15,240
All permutations,chi,526,2513
All permutations,chi,439,31
All permutations,chi,553,896
Set Product,chi,170,2823
All permutations,baseline,488,593
All permutations,chi,469,1151
Set Product,baseline,433,1912
All permutations,zimmerman,522,60
Set Product,chi,526,209
Set Product,chi,639,3854
Set Product,baseline,694,3342
Set Product,zimmerman,522,3123
All permutations,baseline,374,474
Set Product,zimmerman,690,1789
Set Product,chi,201,698
Set Product,baseline,86,10067
Set Product,baseline,396,2491
All permutations,zimmerman,757,5764
Set Product,baseline,807,3314
All permutations,baseline,86,2814
Set Product,zimmerman,652,4486
All permutations,zimmerman,188,1669
All permutations,zimmerman,686,2433
All permutations,zimmerman,107,1056
Set Product,baseline,667,5225
All permutations,baseline,21,4253
All permutations,baseline,187,1555
Set Product,baseline,450,2885
Set Product,zimmerman,668,2975
All permutations,baseline,143,3032
Set Product,baseline,187,3444
All permutations,chi,305,2252
Set Product,chi,291,3404
Set Product,baseline,411,3300
All permutations,chi,57,7564
Set Product,zimmerman,107,3753
Set Product,zimmerman,509,3460
Set Product,chi,189,5309
Set Product,baseline,625,3580
All permutations,zimmerman,547,495
Set Product,zimmerman,599,3412
All permutations,zimmerman,652,1953
Set Product,zimmerman,297,5310
All permutations,baseline,558,2525
All permutations,zimmerman,634,1595
Set Product,zimmerman,796,1978
Set Product,baseline,53,3021
All permutations,chi,284,2633
Set Product,zimmerman,153,910
Set Product,baseline,621,1951
All permutations,chi,379,1416
All permutations,zimmerman,463,368
Set Product,baseline,580,3671
All permutations,chi,448,120
All permutations,baseline,621,2350
Set Product,chi,186,5894
All permutations,zimmerman,599,2391
Set Product,chi,329,2693
All permutations,zimmerman,352,1750
Set Product,zimmerman,352,4345
Set Product,baseline,52,5503
Set Product,baseline,121,1723
All permutations,chi,73,520
All permutations,baseline,625,3032
Set Product,chi,73,2017
All permutations,baseline,580,3367
Set Product,zimmerman,770,4188
All permutations,chi,435,1767
All permutations,zimmerman,770,3311
Set Product,chi,516,2155
Set Product,baseline,95,3335
Set Product,chi,286,2127
Set Product,baseline,769,2752
All permutations,chi,291,90
Set Product,baseline,455,3275
All permutations,zimmerman,796,165
Set Product,chi,797,1385
Set Product,chi,242,1780
All permutations,chi,242,1405
All permutations,chi,144,2722
All permutations,zimmerman,31,3561
All permutations,chi,329,2746
Set Product,baseline,335,2746
Set Product,chi,100,8300
All permutations,baseline,605,2713
Set Product,zimmerman,194,5112
All permutations,baseline,411,4838
All permutations,zimmerman,185,3318
All permutations,baseline,173,3340
All permutations,baseline,52,1874
All permutations,zimmerman,176,3609
All permutations,baseline,53,3203
All permutations,zimmerman,509,2868
Set Product,chi,371,4935
All permutations,chi,513,565
Set Product,chi,465,1390
All permutations,zimmerman,297,4272
Set Product,zimmerman,185,2288
All permutations,zimmerman,63,2883
Set Product,zimmerman,269,1089
All permutations,baseline,769,3648
Set Product,zimmerman,176,2151
All permutations,zimmerman,460,2694
All permutations,zimmerman,276,4842
Set Product,chi,4,2360
Set Product,zimmerman,792,4734
All permutations,zimmerman,38,511
All permutations,chi,797,1500
Set Product,zimmerman,696,5464
Set Product,zimmerman,589,3026
All permutations,baseline,667,3211
Set Product,baseline,74,971
Set Product,chi,464,2788
Set Product,zimmerman,539,1986
All permutations,baseline,807,2948
All permutations,chi,186,2523
Set Product,zimmerman,174,59
All permutations,chi,465,417
All permutations,chi,464,2286
Set Product,zimmerman,595,2389
Set Product,zimmerman,229,2456
Set Product,chi,734,3309
All permutations,zimmerman,229,3327
All permutations,chi,629,4558
All permutations,zimmerman,194,3233
All permutations,chi,279,2336
All permutations,chi,508,30
Set Product,baseline,515,305
All permutations,zimmerman,174,491
All permutations,zimmerman,696,2983
Set Product,chi,272,1995
All permutations,chi,662,7705
Set Product,chi,139,448
All permutations,baseline,341,2034
Set Product,chi,508,240
All permutations,chi,129,1658
All permutations,chi,371,2603
All permutations,baseline,175,510
All permutations,zimmerman,50,2134
Set Product,zimmerman,308,2346
All permutations,baseline,698,170
Set Product,baseline,551,1313
Set Product,zimmerman,532,85
All permutations,chi,170,1583
Set Product,baseline,426,1140
All permutations,baseline,93,1884
Set Product,baseline,698,388
All permutations,zimmerman,590,2244
Set Product,chi,24,6310
All permutations,baseline,103,111
Set Product,chi,26,4014
All permutations,chi,139,321
Set Product,baseline,398,1962
All permutations,chi,4,5596
Set Product,zimmerman,262,2279
Set Product,baseline,93,3807
Set Product,zimmerman,590,296
All permutations,chi,304,3387
All permutations,zimmerman,13,2278
Set Product,baseline,613,605
All permutations,zimmerman,262,1014
All permutations,baseline,613,515
Set Product,chi,782,2183
All permutations,chi,267,1331
Set Product,zimmerman,777,3662
Set Product,zimmerman,739,7219
All permutations,zimmerman,228,1311
Set Product,chi,714,370
All permutations,zimmerman,134,1898
Set Product,chi,498,1183
Set Product,baseline,410,1659
Set Product,zimmerman,760,1032
All permutations,chi,500,1510
All permutations,zimmerman,800,1920
All permutations,baseline,314,560
All permutations,zimmerman,690,1952
All permutations,chi,656,3477
Set Product,zimmerman,432,2378
Set Product,chi,494,1705
Set Product,chi,87,3343
All permutations,chi,87,859
All permutations,chi,494,1405
Set Product,baseline,314,292
Set Product,chi,538,3506
Set Product,chi,725,255
Set Product,baseline,236,460
Set Product,chi,592,4461
Set Product,chi,332,383
All permutations,baseline,236,191
All permutations,zimmerman,432,3441
Set Product,chi,772,248
All permutations,chi,609,50
Set Product,chi,609,2561
All permutations,zimmerman,777,3556
Set Product,zimmerman,586,5351
All permutations,chi,592,3230
All permutations,chi,782,768
Set Product,baseline,524,871
All permutations,zimmerman,519,240
All permutations,baseline,340,750
Set Product,zimmerman,459,8033
Set Product,baseline,643,2983
Complex Numbers,baseline,271,2678
Set Product,zimmerman,204,359
All permutations,chi,272,175
Complex Numbers,baseline,591,1483
Set Product,chi,133,1788
Set Product,baseline,596,3591
All permutations,zimmerman,739,3925
All permutations,chi,24,3824
All permutations,baseline,658,4911
Averager,zimmerman,162,766
Set Product,zimmerman,519,150
All permutations,baseline,576,973
Set Product,chi,534,1473
Averager,baseline,591,375
Set Product,zimmerman,407,3813
Complex Numbers,baseline,633,4202
Set Product,baseline,731,2779
Set Product,baseline,318,3241
Set Product,chi,566,2366
Complex Numbers,chi,571,4616
Complex Numbers,baseline,58,4639
Set Product,chi,294,1565
Complex Numbers,chi,753,1195
Averager,baseline,203,30
All permutations,zimmerman,355,2112
Set Product,zimmerman,740,2335
Set Product,baseline,324,974
Complex Numbers,chi,516,3216
Complex Numbers,zimmerman,722,3751
All permutations,zimmerman,416,2284
Complex Numbers,chi,72,766
Set Product,zimmerman,467,2129
Set Product,baseline,659,5852
Set Product,baseline,30,3720
Set Product,chi,94,7861
Set Product,chi,737,3542
Set Product,baseline,576,965
Averager,chi,571,850
Complex Numbers,zimmerman,162,3984
All permutations,baseline,713,2152
Set Product,zimmerman,29,4099
Averager,zimmerman,722,480
Complex Numbers,zimmerman,808,3347
Complex Numbers,baseline,68,625
All permutations,zimmerman,227,808
Complex Numbers,baseline,203,90
All permutations,chi,294,668
All permutations,zimmerman,637,199
All permutations,baseline,527,229
Set Product,baseline,707,2340
Set Product,chi,111,5938
All permutations,baseline,489,1909
All permutations,zimmerman,467,1935
All permutations,baseline,95,2141
Set Product,baseline,527,748
Set Product,zimmerman,152,677
Set Product,chi,810,7160
Averager,chi,753,286
Set Product,chi,683,2391
All permutations,zimmerman,152,2109
Set Product,chi,693,4047
All permutations,chi,538,3044
All permutations,baseline,324,258
All permutations,baseline,383,4082
Complex Numbers,zimmerman,798,6057
All permutations,chi,100,434
Set Product,baseline,234,2132
All permutations,chi,557,2106
Complex Numbers,zimmerman,549,628
Set Product,baseline,157,1194
Set Product,zimmerman,638,1033
Complex Numbers,zimmerman,219,3698
All permutations,baseline,30,3284
Set Product,zimmerman,106,2645
Set Product,chi,394,144
Averager,zimmerman,798,431
All permutations,baseline,707,1162
Set Product,chi,476,591
Averager,chi,182,584
All permutations,zimmerman,740,2184
Complex Numbers,zimmerman,533,137
Complex Numbers,zimmerman,412,1859
Set Product,baseline,628,487
Set Product,zimmerman,536,3242
All permutations,chi,479,3542
All permutations,baseline,596,2294
All permutations,baseline,515,1560
All permutations,baseline,157,926
Complex Numbers,baseline,618,1999
All permutations,zimmerman,587,1321
Set Product,baseline,8,2581
All permutations,chi,94,2697
All permutations,baseline,234,1834
Set Product,zimmerman,587,2356
Complex Numbers,zimmerman,582,987
All permutations,chi,693,4373
All permutations,zimmerman,153,611
All permutations,chi,111,2349
Averager,zimmerman,412,515
All permutations,baseline,731,1386
Set Product,baseline,651,4798
Set Product,zimmerman,20,7414
All permutations,chi,598,30
Averager,chi,279,1124
Averager,zimmerman,126,1452
All permutations,zimmerman,307,180
All permutations,baseline,628,30
All permutations,zimmerman,221,1519
Set Product,chi,598,173
All permutations,zimmerman,106,1727
All permutations,baseline,67,59
Set Product,chi,445,7108
All permutations,zimmerman,768,2273
Averager,chi,264,2670
All permutations,chi,716,3374
All permutations,chi,189,3810
Set Product,zimmerman,221,704
Averager,zimmerman,219,802
Complex Numbers,zimmerman,126,2248
All permutations,baseline,651,2400
Complex Numbers,zimmerman,185,3783
Set Product,zimmerman,353,3179
Set Product,chi,11,1018
Complex Numbers,chi,565,1677
Set Product,baseline,357,359
Set Product,chi,676,1708
Complex Numbers,zimmerman,218,2293
Set Product,baseline,569,30
All permutations,zimmerman,20,3437
Averager,baseline,64,503
Complex Numbers,baseline,596,216
Complex Numbers,baseline,64,8642
Complex Numbers,chi,208,1344
Set Product,zimmerman,315,8883
All permutations,chi,208,1004
Set Product,baseline,21,2554
Complex Numbers,chi,755,2973
Averager,chi,565,297
Set Product,zimmerman,381,1303
Set Product,zimmerman,451,3467
Averager,chi,755,570
Set Product,baseline,425,150
Complex Numbers,baseline,348,2323
Complex Numbers,chi,444,729
Complex Numbers,baseline,17,2833
Set Product,baseline,7,3730
Set Product,chi,674,910
Set Product,baseline,301,3193
All permutations,baseline,357,90
Set Product,zimmerman,373,3060
All permutations,chi,755,808
All permutations,baseline,105,950
Set Product,baseline,1,313
Complex Numbers,zimmerman,758,428
All permutations,baseline,408,1377
Set Product,baseline,244,2095
Complex Numbers,zimmerman,134,4347
Set Product,chi,208,690
Set Product,chi,699,30
Complex Numbers,chi,639,3671
Complex Numbers,baseline,88,3034
Averager,chi,208,226
All permutations,baseline,301,2186
Complex Numbers,chi,350,2214
Set Product,zimmerman,452,283
Complex Numbers,chi,279,7383
Complex Numbers,chi,811,3823
Set Product,zimmerman,258,218
Averager,zimmerman,749,896
Averager,baseline,88,677
Set Product,baseline,529,4767
All permutations,chi,44,2603
Complex Numbers,zimmerman,749,6172
Complex Numbers,chi,511,3832
All permutations,chi,445,1606
Averager,zimmerman,218,598
All permutations,zimmerman,638,33
Averager,baseline,17,573
Set Product,zimmerman,28,4566
Complex Numbers,zimmerman,503,2385
Set Product,baseline,781,1808
All permutations,chi,699,392
Averager,chi,365,1090
Complex Numbers,zimmerman,387,1070
Set Product,baseline,402,4014
Set Product,baseline,386,6864
Set Product,zimmerman,119,4983
Set Product,chi,650,1923
All permutations,baseline,27,6010
Averager,zimmerman,758,532
Complex Numbers,zimmerman,670,2424
Complex Numbers,zimmerman,355,5448
Set Product,baseline,661,2346
Complex Numbers,baseline,809,1836
Complex Numbers,chi,61,4730
Complex Numbers,baseline,306,784
Averager,zimmerman,355,1100
Set Product,baseline,390,1260
Complex Numbers,baseline,318,3215
Complex Numbers,baseline,658,2871
Averager,baseline,271,403
Complex Numbers,baseline,105,264
Complex Numbers,chi,365,3817
Averager,chi,345,728
All permutations,zimmerman,166,3382
Complex Numbers,baseline,198,3343
Complex Numbers,zimmerman,507,3813
Set Product,zimmerman,166,7337
Averager,chi,367,430
Complex Numbers,baseline,515,3953
Averager,baseline,410,1111
Averager,baseline,422,408
Complex Numbers,zimmerman,31,4460
Averager,zimmerman,507,552
Complex Numbers,baseline,422,2211
Set Product,zimmerman,695,3472
Complex Numbers,zimmerman,729,4882
Complex Numbers,chi,367,2968
Complex Numbers,chi,636,3703
Averager,chi,636,854
Averager,chi,73,208
All permutations,baseline,117,2720
Complex Numbers,chi,299,2923
Complex Numbers,baseline,410,3052
Set Product,zimmerman,431,970
Complex Numbers,chi,240,4083
All permutations,baseline,386,2788
Complex Numbers,chi,345,3262
Complex Numbers,chi,128,2053
Complex Numbers,zimmerman,684,3671
Set Product,chi,183,1491
Complex Numbers,zimmerman,767,7453
All permutations,baseline,649,1000
Averager,baseline,515,851
Set Product,zimmerman,632,252
Complex Numbers,baseline,89,4277
Complex Numbers,chi,24,7311
Set Product,baseline,212,2823
Set Product,zimmerman,358,2935
Set Product,zimmerman,295,1306
Complex Numbers,chi,364,3635
All permutations,baseline,643,616
Averager,baseline,198,992
Complex Numbers,chi,479,9335
Averager,chi,24,539
Complex Numbers,zimmerman,196,59
Set Product,baseline,735,850
Averager,chi,361,266
Averager,baseline,338,29
Averager,chi,87,452
All permutations,zimmerman,567,1315
Complex Numbers,chi,108,3561
Complex Numbers,chi,366,3844
Averager,baseline,390,291
Array-based Vector - Rule of Three,baseline,565,765
Averager,baseline,89,1101
Complex Numbers,zimmerman,740,4620
Averager,zimmerman,746,463
All permutations,zimmerman,632,1509
All permutations,zimmerman,358,435
Set Product,zimmerman,567,4338
Set Product,baseline,207,2395
Set Product,chi,62,845
All permutations,baseline,212,2187
Averager,baseline,658,1385
Complex Numbers,chi,405,3132
Complex Numbers,baseline,338,408
Complex Numbers,chi,87,1470
Complex Numbers,chi,584,482
Averager,chi,364,480
Complex Numbers,chi,492,67
All permutations,baseline,450,2029
Complex Numbers,chi,223,3908
Set Product,zimmerman,627,2297
Averager,chi,223,405
Set Product,zimmerman,224,7179
Complex Numbers,baseline,125,4097
All permutations,baseline,390,609
Complex Numbers,chi,759,5315
Averager,chi,759,1584
Complex Numbers,zimmerman,746,10
Averager,chi,240,847
Complex Numbers,baseline,390,1395
Set Product,baseline,706,7571
Complex Numbers,zimmerman,460,5445
Averager,zimmerman,686,120
All permutations,baseline,659,3581
All permutations,zimmerman,119,3900
Set Product,baseline,161,4169
Complex Numbers,chi,182,5515
Averager,zimmerman,387,832
Set Product,chi,351,4529
Set Product,baseline,363,4732
All permutations,chi,11,2158
Set Product,baseline,680,3274
Complex Numbers,chi,644,4487
Averager,zimmerman,375,1033
Set Product,baseline,484,1814
Set Product,baseline,19,2021
Complex Numbers,chi,264,7230
All permutations,chi,172,63
Set Product,chi,115,4438
All permutations,zimmerman,308,1762
All permutations,baseline,142,3983
All permutations,baseline,161,3076
Set Product,zimmerman,610,3337
Complex Numbers,chi,292,4398
Averager,zimmerman,670,367
Set Product,zimmerman,393,1964
Averager,zimmerman,808,762
Set Product,chi,172,155
Complex Numbers,chi,445,2669
Averager,chi,299,1006
Set Product,baseline,577,4712
Complex Numbers,zimmerman,375,4167
Set Product,baseline,732,119
Complex Numbers,chi,505,2997
Averager,baseline,348,232
Complex Numbers,chi,674,187
Set Product,baseline,730,1836
Set Product,zimmerman,710,7335
Set Product,chi,449,2468
Set Product,chi,110,3602
Set Product,zimmerman,704,1035
All permutations,zimmerman,750,2478
All permutations,baseline,7,1048
Set Product,baseline,543,4525
Averager,baseline,667,828
Complex Numbers,baseline,7,3694
Complex Numbers,baseline,702,3457
Complex Numbers,baseline,95,2377
Set Product,chi,612,721
Complex Numbers,baseline,442,5788
Complex Numbers,chi,669,4407
All permutations,baseline,577,2048
Complex Numbers,chi,172,289
All permutations,baseline,706,6296
Set Product,chi,56,12975
Set Product,baseline,55,1731
Set Product,zimmerman,293,2679
Set Product,chi,423,4174
Complex Numbers,baseline,664,3991
Averager,chi,644,1683
Set Product,chi,481,95
Complex Numbers,chi,304,9924
Complex Numbers,chi,35,4813
Complex Numbers,chi,275,3679
Complex Numbers,baseline,360,2224
All permutations,zimmerman,353,1568
Complex Numbers,zimmerman,416,5904
Averager,chi,511,1205
All permutations,zimmerman,362,1285
Averager,zimmerman,463,74
Averager,zimmerman,226,413
Averager,baseline,59,150
Complex Numbers,baseline,621,4041
Complex Numbers,baseline,103,523
Complex Numbers,chi,465,1471
All permutations,zimmerman,610,2273
Set Product,chi,233,6285
All permutations,baseline,217,1716
Set Product,chi,602,9909
Complex Numbers,zimmerman,648,238
Set Product,chi,392,3999
Set Product,chi,151,4849
All permutations,baseline,543,3329
Complex Numbers,chi,544,973
Set Product,baseline,32,617
Complex Numbers,zimmerman,463,384
Averager,baseline,306,440
Averager,zimmerman,648,662
Set Product,zimmerman,333,360
All permutations,baseline,428,2248
Complex Numbers,zimmerman,239,2878
Averager,chi,129,628
Complex Numbers,chi,501,447
Averager,chi,811,1334
Averager,zimmerman,266,617
Averager,chi,445,291
Complex Numbers,baseline,625,5034
Complex Numbers,baseline,205,3203
Averager,chi,465,387
Averager,chi,366,943
Averager,chi,745,90
Averager,baseline,809,429
Set Product,baseline,287,575
Averager,baseline,702,751
Set Product,baseline,217,2900
Averager,zimmerman,634,1314
Set Product,zimmerman,687,2501
All permutations,baseline,32,1852
Set Product,chi,215,3022
All permutations,zimmerman,23,4312
Complex Numbers,chi,756,2622
Averager,zimmerman,684,641
Averager,chi,405,814
All permutations,baseline,207,576
Complex Numbers,zimmerman,50,3943
Averager,zimmerman,239,727
Set Product,zimmerman,23,3196
Averager,chi,501,36
All permutations,baseline,55,1242
All permutations,chi,351,1061
Averager,zimmerman,185,978
