problem_name,agent_id,user_id,paas_score
Dynamic Queue,chi,271,5
Dynamic Queue,baseline,218,7
Binary Tree Depth,baseline,218,5
Dynamic Queue,chi,430,8
Dynamic Queue,zimmerman,629,5
Set Product,baseline,54,7
Dynamic Queue,chi,17,6
Complex Numbers,baseline,34,6
Dynamic Queue,baseline,555,8
All permutations,chi,90,1
All permutations,chi,403,9
Complex Numbers,chi,90,1
Complex Numbers,zimmerman,695,5
Averager,zimmerman,695,3
Complex Numbers,chi,215,4
Dynamic Queue,baseline,684,6
All permutations,baseline,54,9
Complex Numbers,zimmerman,119,5
Complex Numbers,zimmerman,225,6
Averager,chi,566,1
Binary Tree Depth,chi,618,5
Binary Tree Depth,chi,428,5
Dynamic Queue,chi,383,7
Binary Tree Depth,chi,383,8
Binary Tree Depth,zimmerman,423,7
Dynamic Queue,baseline,740,5
Complex Numbers,zimmerman,42,5
Complex Numbers,baseline,312,5
Complex Numbers,baseline,118,5
Dynamic Queue,baseline,317,6
Dynamic Queue,zimmerman,284,6
Dynamic Queue,baseline,696,6
Dynamic Queue,baseline,758,6
Complex Numbers,baseline,51,6
Binary Tree Depth,zimmerman,284,4
Averager,baseline,51,3
Complex Numbers,baseline,795,5
Averager,baseline,795,3
Averager,baseline,34,5
Dynamic Queue,zimmerman,379,6
Binary Tree Depth,chi,385,6
Binary Tree Depth,chi,86,6
Binary Tree Depth,baseline,771,2
Dynamic Queue,chi,86,8
Complex Numbers,zimmerman,710,5
Complex Numbers,chi,563,9
Averager,zimmerman,710,3
Dynamic Queue,chi,175,3
Dynamic Queue,zimmerman,644,4
Dynamic Queue,zimmerman,144,8
Dynamic Queue,baseline,739,7
Complex Numbers,baseline,70,5
Complex Numbers,baseline,10,7
Circular Linked List,chi,271,4
Complex Numbers,zimmerman,614,7
Binary Tree Depth,baseline,739,6
Complex Numbers,zimmerman,409,7
Dynamic Queue,baseline,760,5
Dynamic Queue,baseline,467,3
Averager,zimmerman,409,5
Dynamic Queue,chi,658,9
Circular Linked List,chi,428,5
Complex Numbers,baseline,251,6
Dynamic Queue,zimmerman,630,5
Complex Numbers,zimmerman,502,6
Circular Linked List,chi,430,5
Circular Linked List,baseline,218,7
Dynamic Queue,baseline,610,3
Binary Tree Depth,baseline,695,6
Dynamic Queue,baseline,695,5
Binary Tree Depth,chi,707,6
Sorted List,baseline,218,6
Circular Linked List,chi,385,4
Dynamic Queue,zimmerman,778,6
Circular Linked List,baseline,684,6
Dynamic Queue,baseline,82,7
Circular Linked List,zimmerman,504,9
Dynamic Queue,chi,112,6
Circular Linked List,zimmerman,299,8
Dynamic Queue,chi,118,5
Dynamic Queue,zimmerman,215,6
Sorted List,baseline,362,7
Dynamic Queue,baseline,315,7
Dynamic Queue,chi,34,5
All permutations,zimmerman,356,9
Sorted List,chi,383,6
Complex Numbers,baseline,147,6
Sorted List,zimmerman,144,6
Circular Linked List,zimmerman,379,6
Sorted List,chi,396,6
Sorted List,chi,17,6
Sorted List,zimmerman,379,6
Dynamic Queue,zimmerman,566,9
Circular Linked List,zimmerman,144,7
Binary Tree Depth,zimmerman,91,6
Dynamic Queue,zimmerman,115,7
Dynamic Queue,chi,306,5
Binary Tree Depth,zimmerman,403,8
Dynamic Queue,baseline,710,5
Binary Tree Depth,baseline,710,7
Circular Linked List,zimmerman,284,9
Dynamic Queue,baseline,373,7
Array-based Vector - Rule of Three,chi,162,8
Dynamic Queue,zimmerman,403,8
Circular Linked List,baseline,432,7
Dynamic Queue,baseline,771,3
Dynamic Queue,baseline,409,7
Binary Tree Depth,baseline,409,5
Dynamic Queue,baseline,342,6
Sorted List,chi,744,9
Circular Linked List,chi,744,6
Array-based Vector - Rule of Three,baseline,811,3
Circular Linked List,baseline,771,7
Circular Linked List,chi,490,2
Circular Linked List,baseline,421,6
Array-based Vector - Rule of Three,zimmerman,383,7
Set Product,baseline,521,5
Understanding Pointers - First_Char,baseline,144,4
Circular Linked List,zimmerman,11,5
Circular Linked List,chi,672,7
Array-based Vector - Rule of Three,zimmerman,17,3
Circular Linked List,baseline,738,3
Binary Tree Depth,chi,112,4
Array-based Vector - Rule of Three,zimmerman,348,7
Understanding Pointers - First_Char,baseline,629,4
Binary Tree Depth,chi,268,6
Circular Linked List,baseline,409,6
Understanding Pointers - First_Char,chi,696,5
Understanding Pointers - First_Char,zimmerman,396,5
Circular Linked List,baseline,39,6
Circular Linked List,baseline,710,4
Sorted List,baseline,710,3
Understanding Pointers - First_Char,zimmerman,385,3
Complex Numbers,zimmerman,675,4
Circular Linked List,chi,795,7
Sorted List,chi,647,7
Sorted List,chi,490,1
House Painting,zimmerman,398,5
Array-based Vector - Rule of Three,chi,710,7
Understanding Pointers - First_Char,zimmerman,795,5
Array-based Vector - Rule of Three,chi,39,7
Sorted List,zimmerman,155,5
Array-based Vector - Rule of Three,chi,225,5
Understanding Pointers - First_Char,baseline,748,2
