problem_name,agent_id,user_id,like
Dynamic Queue,chi,231,f
Dynamic Queue,chi,112,f
Dynamic Queue,chi,112,f
Complex Numbers,zimmerman,232,f
Complex Numbers,zimmerman,232,f
Dynamic Queue,baseline,28,f
Circular Linked List,chi,680,f
Binary Tree Depth,baseline,353,f
Circular Linked List,chi,807,f
Sorted List,zimmerman,530,f
Circular Linked List,baseline,31,t
Circular Linked List,baseline,31,t
All permutations,zimmerman,356,f
All permutations,zimmerman,356,f
All permutations,zimmerman,356,f
All permutations,zimmerman,356,f
Circular Linked List,zimmerman,66,
Circular Linked List,baseline,634,
Sorted List,chi,396,t
Complex Numbers,baseline,147,f
Complex Numbers,baseline,147,f
Circular Linked List,zimmerman,144,t
Circular Linked List,chi,677,f
Dynamic Queue,zimmerman,149,t
Dynamic Queue,zimmerman,149,f
Sorted List,baseline,777,t
Dynamic Queue,chi,51,t
Binary Tree Depth,baseline,12,f
Circular Linked List,chi,707,
Circular Linked List,chi,707,f
Circular Linked List,chi,707,f
Dynamic Queue,chi,51,t
Circular Linked List,chi,161,f
Circular Linked List,chi,161,f
Circular Linked List,chi,551,t
Circular Linked List,baseline,771,t
Circular Linked List,zimmerman,368,t
Circular Linked List,baseline,378,
Circular Linked List,chi,450,f
Array-based Vector - Rule of Three,baseline,128,t
Array-based Vector - Rule of Three,baseline,128,f
Circular Linked List,chi,52,f
Circular Linked List,zimmerman,199,f
Circular Linked List,chi,402,f
Circular Linked List,chi,402,f
Circular Linked List,zimmerman,11,f
Circular Linked List,chi,309,f
Circular Linked List,chi,672,t
Array-based Vector - Rule of Three,zimmerman,173,f
Understanding Pointers - First_Char,chi,777,f
Sorted List,baseline,710,t
Sorted List,zimmerman,734,f
Circular Linked List,chi,60,f
Circular Linked List,chi,60,f
Circular Linked List,baseline,409,t
Understanding Pointers - First_Char,chi,696,f
Understanding Pointers - First_Char,chi,696,t
Array-based Vector - Rule of Three,chi,771,t
Sorted List,chi,462,f
Dynamic Queue,baseline,354,f
Array-based Vector - Rule of Three,chi,696,f
Array-based Vector - Rule of Three,chi,696,f
Array-based Vector - Rule of Three,chi,696,f
Circular Linked List,baseline,690,f
Array-based Vector - Rule of Three,baseline,137,t
Sorted List,chi,647,
Sorted List,chi,548,f
Understanding Pointers - First_Char,chi,355,
Circular Linked List,baseline,78,f
Circular Linked List,zimmerman,413,f
Sorted List,chi,490,
Sorted List,zimmerman,600,f
Sorted List,baseline,502,f
Array-based Vector - Rule of Three,chi,599,f
Sorted List,zimmerman,728,f
Circular Linked List,baseline,282,
Sorted List,zimmerman,397,f
Sorted List,chi,795,f
Array-based Vector - Rule of Three,baseline,557,
Array-based Vector - Rule of Three,baseline,364,f
Array-based Vector - Rule of Three,baseline,275,t
Circular Linked List,chi,230,t
Array-based Vector - Rule of Three,chi,739,
Understanding Pointers - First_Char,chi,542,f
Sorted List,chi,230,t
House Painting,baseline,292,t
All permutations,chi,520,f
Dynamic Queue,chi,521,t
Dynamic Queue,chi,521,t
Dynamic Queue,chi,521,t
Circular Linked List,chi,521,t
Polymorphic Functions,zimmerman,22,f
Circular Linked List,zimmerman,90,t
Circular Linked List,zimmerman,90,t
Array-based Vector - Rule of Three,baseline,90,f
Binary Tree Depth,baseline,640,t
