problem_name,agent_id,user_id,capabilities_score,ease_of_use_score
Complex Numbers,zimmerman,218,7,7
All permutations,baseline,383,2,4
Set Product,zimmerman,20,1,1
All permutations,baseline,117,2,4
Complex Numbers,chi,367,3,6
Complex Numbers,chi,759,1,7
Averager,chi,759,2,7
Set Product,zimmerman,308,2,5
Set Product,baseline,706,3,6
Set Product,chi,449,1,4
Complex Numbers,baseline,7,3,3
Set Product,zimmerman,224,7,7
All permutations,baseline,428,2,3
All permutations,baseline,161,7,2
Set Product,zimmerman,710,5,6
Set Product,chi,423,1,6
Set Product,zimmerman,695,6,5
All permutations,zimmerman,695,4,5
All permutations,zimmerman,308,3,5
Complex Numbers,baseline,667,1,1
Averager,chi,681,6,6
Complex Numbers,baseline,383,6,6
Set Product,zimmerman,82,6,6
Complex Numbers,chi,456,4,6
Set Product,zimmerman,409,1,1
Set Product,zimmerman,206,3,3
Averager,chi,456,6,6
Complex Numbers,baseline,430,5,5
Set Product,zimmerman,315,1,2
Complex Numbers,baseline,576,6,7
All permutations,baseline,21,2,7
Complex Numbers,zimmerman,800,6,6
Complex Numbers,chi,379,3,3
Averager,chi,66,3,7
Averager,chi,530,4,6
Complex Numbers,chi,530,1,2
Complex Numbers,baseline,311,6,6
All permutations,baseline,118,2,2
Complex Numbers,baseline,558,6,7
Set Product,chi,392,4,3
Set Product,chi,566,2,4
Set Product,chi,563,5,6
Averager,chi,449,5,6
Set Product,baseline,795,6,6
Complex Numbers,chi,73,4,6
Set Product,zimmerman,764,3,5
Complex Numbers,chi,284,1,1
Averager,zimmerman,696,7,7
Complex Numbers,baseline,659,3,7
Set Product,zimmerman,604,6,6
Complex Numbers,zimmerman,696,2,2
Set Product,baseline,545,4,4
Complex Numbers,baseline,175,4,7
All permutations,baseline,795,3,3
Complex Numbers,zimmerman,541,7,7
Set Product,baseline,51,4,4
Set Product,zimmerman,747,4,4
All permutations,baseline,506,3,4
All permutations,zimmerman,747,5,5
All permutations,baseline,51,3,3
Complex Numbers,zimmerman,739,7,6
Set Product,baseline,112,6,6
Set Product,baseline,230,3,3
Set Product,chi,47,4,7
Averager,zimmerman,739,6,6
Binary Tree Depth,chi,430,6,4
Set Product,chi,728,6,6
Dynamic Queue,baseline,162,6,7
Averager,zimmerman,174,6,6
Complex Numbers,zimmerman,760,5,6
Set Product,zimmerman,362,5,7
Set Product,zimmerman,743,2,5
Averager,zimmerman,432,6,5
Complex Numbers,zimmerman,432,6,6
Averager,zimmerman,542,5,5
All permutations,chi,470,1,2
All permutations,zimmerman,315,7,6
Set Product,baseline,647,3,5
Averager,baseline,243,6,6
Complex Numbers,chi,566,1,1
Complex Numbers,zimmerman,224,5,5
Dynamic Queue,chi,271,6,6
Dynamic Queue,baseline,218,7,7
Binary Tree Depth,baseline,218,7,7
Dynamic Queue,chi,430,1,2
Dynamic Queue,zimmerman,629,7,7
Set Product,baseline,54,2,3
Dynamic Queue,chi,17,3,6
Complex Numbers,baseline,34,6,7
Dynamic Queue,baseline,555,2,4
All permutations,chi,90,1,1
All permutations,chi,403,1,7
Complex Numbers,chi,90,4,2
Complex Numbers,zimmerman,695,6,5
Averager,zimmerman,695,6,5
Complex Numbers,chi,215,3,3
Dynamic Queue,baseline,684,3,6
All permutations,baseline,54,1,2
Complex Numbers,zimmerman,119,7,6
Complex Numbers,zimmerman,225,6,7
Averager,chi,566,6,6
Binary Tree Depth,chi,618,7,7
Binary Tree Depth,chi,428,6,6
Dynamic Queue,chi,383,6,6
Binary Tree Depth,chi,383,7,7
Binary Tree Depth,zimmerman,423,3,5
Dynamic Queue,baseline,740,4,4
Complex Numbers,zimmerman,42,4,5
Complex Numbers,baseline,312,3,6
Complex Numbers,baseline,118,5,5
Dynamic Queue,baseline,317,2,7
Dynamic Queue,zimmerman,284,7,7
Dynamic Queue,baseline,696,3,3
Dynamic Queue,baseline,758,4,4
Complex Numbers,baseline,51,2,3
Binary Tree Depth,zimmerman,284,7,7
Averager,baseline,51,5,6
Complex Numbers,baseline,795,6,6
Averager,baseline,795,6,6
Averager,baseline,34,6,7
Dynamic Queue,zimmerman,379,4,5
Binary Tree Depth,chi,385,3,6
Binary Tree Depth,chi,86,4,6
Binary Tree Depth,baseline,771,4,6
Dynamic Queue,chi,86,2,3
Complex Numbers,zimmerman,710,4,3
Complex Numbers,chi,563,3,4
Averager,zimmerman,710,6,6
Dynamic Queue,chi,175,3,3
Dynamic Queue,zimmerman,644,4,4
Dynamic Queue,zimmerman,144,6,7
Dynamic Queue,baseline,739,5,4
Complex Numbers,baseline,70,1,5
Complex Numbers,baseline,10,4,5
Circular Linked List,chi,271,3,3
Complex Numbers,zimmerman,614,2,2
Binary Tree Depth,baseline,739,6,6
Complex Numbers,zimmerman,409,6,6
Dynamic Queue,baseline,760,4,7
Dynamic Queue,baseline,467,3,5
Averager,zimmerman,409,7,5
Dynamic Queue,chi,658,1,1
Circular Linked List,chi,428,7,6
Complex Numbers,baseline,251,5,6
Dynamic Queue,zimmerman,630,6,7
Complex Numbers,zimmerman,502,6,5
Circular Linked List,chi,430,3,4
Circular Linked List,baseline,218,2,4
Dynamic Queue,baseline,610,4,3
Binary Tree Depth,baseline,695,2,6
Dynamic Queue,baseline,695,4,6
Binary Tree Depth,chi,707,2,3
Sorted List,baseline,218,5,7
Circular Linked List,chi,385,5,6
Dynamic Queue,zimmerman,778,5,7
Circular Linked List,baseline,684,1,5
Dynamic Queue,baseline,82,5,6
Circular Linked List,zimmerman,504,1,3
Dynamic Queue,chi,112,2,6
Circular Linked List,zimmerman,299,4,7
Dynamic Queue,chi,118,5,5
Dynamic Queue,zimmerman,215,3,3
Sorted List,baseline,362,4,7
Dynamic Queue,baseline,315,1,2
Dynamic Queue,chi,34,2,7
All permutations,zimmerman,356,1,7
Sorted List,chi,383,7,7
Complex Numbers,baseline,147,4,6
Sorted List,zimmerman,144,7,6
Circular Linked List,zimmerman,379,2,2
Sorted List,chi,396,4,6
Sorted List,chi,17,6,7
Sorted List,zimmerman,379,6,5
Dynamic Queue,zimmerman,566,1,1
Circular Linked List,zimmerman,144,5,4
Binary Tree Depth,zimmerman,91,4,7
Dynamic Queue,zimmerman,115,2,2
Dynamic Queue,chi,306,6,6
Binary Tree Depth,zimmerman,403,4,7
Dynamic Queue,baseline,710,6,6
Binary Tree Depth,baseline,710,6,6
Circular Linked List,zimmerman,284,1,1
Dynamic Queue,baseline,373,6,7
Array-based Vector - Rule of Three,chi,162,6,7
Dynamic Queue,zimmerman,403,3,7
Circular Linked List,baseline,432,1,1
Dynamic Queue,baseline,771,3,3
Dynamic Queue,baseline,409,5,5
Binary Tree Depth,baseline,409,6,5
Dynamic Queue,baseline,342,5,5
Sorted List,chi,744,3,3
Circular Linked List,chi,744,5,5
Array-based Vector - Rule of Three,baseline,811,1,1
Circular Linked List,baseline,771,5,3
Circular Linked List,chi,490,2,2
Circular Linked List,baseline,421,2,2
Array-based Vector - Rule of Three,zimmerman,383,5,5
Set Product,baseline,521,6,6
Understanding Pointers - First_Char,baseline,144,6,6
Circular Linked List,zimmerman,11,5,6
Circular Linked List,chi,672,6,2
Array-based Vector - Rule of Three,zimmerman,17,5,7
Circular Linked List,baseline,738,4,6
Binary Tree Depth,chi,112,6,7
Array-based Vector - Rule of Three,zimmerman,348,5,6
Understanding Pointers - First_Char,baseline,629,3,6
Binary Tree Depth,chi,268,5,6
Circular Linked List,baseline,409,6,5
Understanding Pointers - First_Char,chi,696,5,3
Understanding Pointers - First_Char,zimmerman,396,5,5
Circular Linked List,baseline,39,6,6
Circular Linked List,baseline,710,6,7
Sorted List,baseline,710,5,7
Understanding Pointers - First_Char,zimmerman,385,6,6
Complex Numbers,zimmerman,675,4,3
Circular Linked List,chi,795,5,5
Sorted List,chi,647,6,6
Sorted List,chi,490,1,1
House Painting,zimmerman,398,7,7
Array-based Vector - Rule of Three,chi,710,7,7
Understanding Pointers - First_Char,zimmerman,795,7,7
Array-based Vector - Rule of Three,chi,39,5,6
Sorted List,zimmerman,155,1,5
Array-based Vector - Rule of Three,chi,225,7,7
Understanding Pointers - First_Char,baseline,748,4,6
